,commentCount,country,description,hiddenSubscriberCount,subscriberCount,title,videoCount,video_descriptions,video_titles,viewCount
0,0,KR,"😍여러분  천천히 보고 결정 하세요💞
(จริงๆแล้วเรื่องราวทั้งหมดเป็นอย่างไร..?)
ช่องนี้จัดทำขึ้นเพื่อลบล้างความเชื่อบางอย่าง
ในหมู่คนไทยและสร้างความบันเทิงสนุกสนาน
ทั้งนี้ขึ้นอยู่กับทัศนคติวิธีคิดและพื้นฐานชีวิตของ
แต่ละบุคคลช่องเปิดเป็นสาธารณะสามารถแสดง
ความคิดเห็นได้ ""ไลค์และดิสไลค์ได้"" ไม่ปิดกั้นค่ะ
นอกจากคนที่รายงานมั่วๆเข้ามาป้าขอสอยนะคะ

*อยากฝากช่องฝากลิ้งค์ฝากคลิปฝากอะไรสนุกๆ
ติดต่อได้เลยนะคะช่วยกันๆยินดีค่ะขอบพระคุณค่ะ
ยินดีเป็นเพื่อนเป็นมิตรกับทุกๆคนทุกๆช่องนะค๊า😘

📌สนใจลงโฆษณาปักหมุดด้านบนสุดของคลิปดัง
ทั้งหลักแสนวิวหลักหลานวิวนี้ทั้งเว็ปไซด์หรือเพจ
ร้านค้าและสินค้าชั้นนำคุณภาพต่างๆติดต่อได้ที่นี่
(กำลังใจเล็กๆน้อยๆในการพัฒนาต่อยอดค่ะ😍)
dinklovebangkok@gmail.com

(Inboxในยูทูป)
https://www.youtube.com/add_contact?c=LioKxd1wsZA0sTFz4Er3JM07ffPdMw",False,197000,K-really [ เกรียนเกาหลี ],347,"['ทั้งนี้มีการวิพากษ์วิจารณ์กันเป็นจำนวนมาก   ถึงการแสดงความดีใจอั...', 'ปล.เรื่องนี้ป้าจะไม่ยุ่งรอติดตามชมต่อไป     ""Real Men""รายการเรียลิตี้นำเ...', 'BLACKPINKทัวร์คอนเสิร์ตในประเทศมาเลเซีย     ในบทเพลง STAY จังหวะที่เจนนี่กั...', 'ก่อนหน้านี้ศิลปินวงRed Velvetอย่างเยริ   ได้ร้องท่อนแร๊พล้อเลียนลิซ่าผ่า...', 'เมื่อพี่การ์ดพลาดไม่ได้ตรวจทานของขวัญ     ผลลัพท์ ""ลลิษา"" ก็มีอาการ...', 'BLACKPINKคิมจีซูจริงๆแล้วเป็นคนตลก   เมื่อ4สาวแบล็คพิ้งค์ออกรายการทำอาห...', 'BLACKPINKขึ้นโชว์คอนเสิร์ตในไทย       🤣แอบเล่นนอกสคลิปด้วยการเล่นเป่ายิ...', 'แม่เจนนี่เคืองพี่การ์ดโอปป้าเอามือขวางBLINK   เพราะจะสวมมงกุฎดอกไม...', '4สาวแบล็คพิ้งค์เดินทางทัวร์คอนเสิร์ต   ในประเทศญี่ปุ่นพร้อมออกรายก...', 'เมื่อเจนดึกกี้ได้ตุ๊กตาจากแฟนคลับความคึก   จึงเกิดขึัน ณ.คอนเสิร์...', 'ในความดุดันเคร่งขลึมแฝงด้วยความอ่อนโยน🤣 ""  LISA""ในงานmeetไซน์ในเมืองไทยข...', 'การแสดงคอนเสิรต์BLACKPINK TOUR JAKARTA ประเทศอินโดนีเซียในเพลง BOOMBAYAH เป็นท่อน จ...', 'ถามคำถามแทงใจใครตอบไม่ได้โดนฟาดหัว🥊   ในรายการ ""STAR ROAD"" ถนนแห่งดวงดาว...', 'เมื่อจีซูออนนี่เตะบอลใส่น้องเจนดึก  🤣   เจนดึกถึงฟ้องแฟนBLINKว่าพี่เ...', 'สุ่มเต้นด้วยการบอกจำนวนผู้ออกมาเต้นตามคำสั่ง    ⚖️ ด้วยภาษาเกาหล...', 'GOT7จริงๆแล้วแบมๆเป็น""เด็กกวน....ㅋㅋ  "" 뱀뱀แบมๆล้อเลียนท่าเต้นลลิษาเพื่...', 'ออนนี่พี่จีซูฮาลากเกียร์กับสิ่งที่ลิซ่าทำ‼️ รับไม่ได้ที่น้องสาวลิ...', 'ก็ไม่มีอะไร..!! ก็เขาเป็นเพื่อนกัน 555+🤣   ในงานรับรางวัลGDA2019จังหวะที่สา...', 'เมื่อพี่จีซู4มิติเห็นทุกอย่างที่ตั้งได้555+🤣   มันอดใจไม่ไหวหรอกนะที...', 'BLACKPINKสาวๆออกงานอีเว้นของ""สไปรท์""   ที่ธรีมในงานออกแนวคล้ายๆสงกรานต...', 'หลังจากหนูน้อย""นาฮาอึน""ได้ไปโชว์และมอบ   ช่อดอกไม้ให้กับศิลปินใน...', 'ปัญหาเริ่มจากลิซ่า ""  บาบาบา บาบา..นาๆ  "" หลังจากนั้นเจนดึกกี้กับแชยอ...', 'จริงๆน้องไม่ได้มีปัญหากันแค่พี่ๆทั้ง2ขี้เกียจ และอู่งานเท่านั้นลิ...', 'การเปิดงานของเหล่าศิลปิน[กาโยแทชอน]   16/12/26_2016 가요대전 @ Coex   BLACKPINK_O-PENING SHOW ...', 'เมื่อเยริและเหล่าสมาชิกวงRed Velvet     ร้องท่อนแร๊พเลียนแบบลิซ่าผ่าน...', 'เมื่อแฟน""BLINK JAPAN""เซอร์ไพรส์แบล็คพิ้งค์       ❤️    บรรดาสาวๆจะมีปฎิกริย...', 'ในงานประกาศรับรางวัลฟังๆแล้วไม่มีเพลง     ของแบล็คพิ้งได้ยังไง...', 'เหตุการ์ณระทึกเล็กๆเมื่อสาวๆแบล็คพิ้งค์ ได้เดินทางจากเกาหลีใต้มาถึ...', '""Real Men""รายการเรียลิตี้นำเสนอการใช้ชีวิต ในค่ายทหารของเหล่าดาราศิลปิ...', 'ต้องทำแบบนี้.!!สรุปพอกันทั้งคู่ไปๆมาๆแรงกว่าแบมๆอีก เมื่อเพื่อนซี...', 'จริงๆแล้วลิซ่าเป็นเด็กเอ๋อที่บ้าแมว..‼       ชอบทำเป็นเท่ห์ ชอบทำเ...', 'จริงๆแล้วลิซ่าสนทนาภาษาอังกฤษได้ดี  🤣 แต่น้องอาจจะนึกไม่ค่อยออกเป...', 'เมื่อ4สาวBLACKPINKต้องมาเป็นครูสอนภาษา   ในรายการ จีซู-ภาษาเกาหลี,โรเซ่-ภ...', 'BLACKPINKคอนเสิร์ตที่มนิลาประเทศฟิลิปปินส์     ในบทเพลง ""STAY"" เจนนี่ได้สร้า...', 'น้อยหรอ.?ตั้ง5คนล้อมหน้าล้อมหลังเลยน๊ะ!!55+🤣 ลลิษาถึงสนามบินอินชอนแล...', '""แฟนเกาหลีตะโกนใส่ลิซ่ากลางงาน""   ""ลาลิซ่า ขอบคุณค่า""(BLACKPINK)팬싸인회.', 'ชาวต่างชาติหรือแม้กระทั่งแฟนเกาหลี และไทยต่างสงสัยถึงความสัมพันธ์ข...', 'BLACKPINKปาร์คแชยองศิลปินเกาหลี   ฝึกร้องเพลงไทยหนักมากตั้งแต่เป็...', 'ย้อนหลังวันเกิดน้องมินนี่ศิลปินเกาหลีใต้สายเลือด   ไทยวง(G)I-DLEเมื่...', 'โดยเฉพาะเพลง ""if you do"" เต้นแข็งแรงมาก🤣   เมื่อเหล่าบรรดาทไวซ์รั่วล้อเ...', 'เด็กไทยเก่งน่ารักความสามารถเกินตัวจริงๆ     ต้องขอบอกค่ะว่าปังสุดฮ...', '4สาวแบล็คพิ้งเดินทางถึง""สหรัฐอเมริกา      "" ออกรายการกู๊ดมอ...', 'วันนี้สาวๆวงแบล็คพิ้งค์ได้ที่1อีกแล้วจากเวที   ""Show Music Core"" พูดภาษาไทย...', 'อ๊ายย...!!รับม๊ายด้ายยมันจะเซ็กซี่เกินไปแล้ว  🤔 เมื่อแบมแบมขอให้...', 'BLACKPINKวันนี้แม่จีซูเอาลูกชายมาแนะนำ   น้อง ""ทัลโกม"" น้องหมาพันธ์ุมอลที...', 'จังหวะนี้เองมีแฟนบางกลุ่มหึ่มๆพูดคุยกันอยู่‼️ เนื่องจากเหตุการณ...', 'โรเซ่บอกไม่นะฉันอยากจะเป็นกวาง🦌   แต่ลิซ่าและแฟนๆบอกเหมือนชิปม...', 'หลังจากสำนักข่าวดังเดินทางไปขอสัมภาษท์     คุณตาคุณยายของ ""ลลิษา...', 'การกอดทักทายกันของชาวอเมริกันเป็นเรื่อง  ✓   ❤️        ปรกตินะคะและท...', 'เมื่อเด็กสาวชาวมาเลย์เซียและครอบครัว   กินข้าวอยู่ร้านอา...']","['โซเชี่ยลระอุโมโม่แลนด์ยืนเต้นข้ามหัว.!?', '😱ครูฝึกทหารปะทะลิซ่าBLACKPINK🌼.!?', '😱ลิซ่าเล่นนอกบทเคืองอะไรเจนนี่กับแชง.!?', 'หลังจากล้อเลียนลิซ่าเยริก็ไม่เหมือนเดิม.!?', 'พี่การ์ดพลาดตรวจของลิซ่าเลยเป็นแบบนี้.!?', '👧&quot;พี่จีซูนิ๊สัย&quot;จริงๆแล้วเป็นคนยังไง.!?', 'BLACKPINKอีกแล้วเจนนี่เต้นผิดนอกบท.!?', '&quot;제니-เจนนี่เดือด&quot;วีนใส่พี่การ์ดโอปป้า.!?😎', 'พิธีกรญี่ปุ่นจี้เรื่องห้องใครสกปรกที่สุด.!?', 'เมื่อเจนนี่ได้ตุ๊กตาจากBLINKสติก็หายไป.!?', 'พี่การ์ดโอปป้าเด๋วเป็นไรเฮ๊ยตั้งสติㅋㅋㅋ.!!', 'เจนนี่น่าสงสัยตั้งใจกระโดดเตะหน้าจีซู.!?', 'จีซูฟาดหัวเจนนี่แรงถามไม่ตอบเรื่องผู้ชาย.!?', 'ประเด็นสงสัยจีซูตั้งใจเตะบอลอัดใส่เจนนี่.!?', 'พิธีกรเกาหลีตำหนิ่ลิซ่าเรื่องภาษาไทย..!?🇹🇭', '😱&quot;GOT7แรงไปนะ&quot;ล้อเลียนBLACKPINK.!?', 'ลิซ่าทำแบบนี้บนเวทีพี่จีซูก็ยังรับไม่ได้.!?', 'นาย็อนทไวซ์มองแรงจีซูแบล็คพิ้งมีไรกัน.!?', 'จีซูอย่าบอกนะว่ายังคิดจะทำแบบนั้นอีก.!?', 'เป็นเรื่องแบล็คพิ้งค์โดนแฟนคลับสาดน้ำใส่.!?', '&quot;ฮาอึน&quot;ชอบศิลปินK-POPวงไหนมากที่สุด.?', 'จริงๆแล้วคลิปนี้ปัญหาทั้งหมดเกิดจากลิซ่า.!?', 'ย้อนชมบ้านสีชมพูลิซ่ากับเจนนี่มีปัญหากัน.!?', '🤔อะไร..ยังไง..ใช่หรือป่าว.!?🕵', 'เอาอีกแล้วเยริ!!Red Velvetล้อเลียนลิซ่า.!?', 'แฟนญี่ปุ่นทำแบบนี้โห่จนลิซ่าน้ำตาคลอ.!?', 'ดราม่าไม่เปิดเพลงแบล็คพิ้งค์ในงาน.!?', 'นี่หรอญี่ปุ่นไร้มารยาทจู่โจมลิซ่าสนามบิน.!?', 'ค่ายเกาหลีใต้โหดหนักลิซ่าจำต้องร้องไห้.!?', 'ยูคยอมพูดแล้วแบมๆล้อเลียนลิซ่าทำไม่ถูก.!?', '🤔แชยองเคยบอกลิซ่าชอบทำเป็นน่ารัก.!?', 'เอาแล้วพิธีกรจี้ลิซ่าพูดภาษาอังกฤษไม่ได้.!?', '4สาวแบล็คพิ้งค์มีปากเสียงกลางรายการ.!?', '🤦\u200d♀️คิมเจนนี่อีกละนะเล่นนอกบทบนคอนเสิร์ต.!?', 'ค่ายไม่ดูแลลิซ่าเดินทางคนเดียวการ์ดน้อย.!?', '😱จริงๆแฟนเกาหลีไม่ชอบลิซ่าตะโกนใส่.!?', 'แฟนต่างชาติขุดสงสัยแบล็คพิ้งค์จีไอเดิ้ล.!?', '🎤ร้องเพลงไทยก็ได้หรอปาร์คแชยอง😍.!?', '😎(G)I-DLE민니มินนี่พูดชัดหนูโตแล้วนะ.!?', '😱Twiceแรงไปไหมล้อเลียนศิลปินGOT7.!?', 'เด็กไทยในรายการเกาหลีทำเกินตัวไปไหม.!?', 'ฝรั่งบอกแค่แท่งไฟแบล็คพิ้งค์พวกเราก็มี.!?', '🇹🇭ลิษาพูดภาษาไทยShow Music Core!🎉', 'ยูคยอมทำบางอย่างอากาเซ่ไทยรับไม่ได้.!?', 'หมาจีซู&quot;ทัลโกม&quot;จู่โจมผ้าห่มอย่างรุนแรง.!?', 'การ์ดเกาหลีใช้ไฟฉายแรงส่องตาแฟนไทย.!?', 'จริงๆโรเซ่ไม่ใช่กวางแต่เป็นชิปมั้ง.!?🐿', 'ประเด็นร้อนคุณตาคุณยายลิซ่าที่บุรีรัมย์.!?', 'พิธีกรแรงไปป๊ะกอดลิซ่าแบบนั้นเลยหรอ.!?', 'เอ้างงเด็กมาเลย์กินข้าวอยู่ดีๆเจอลิซ่า.!?']",81716834
1,0,KR,"공연장의 현장감을 침대까지, 음악을 즐기는 새로운 방법 #언제나오월",False,7220,언제나오월,1241,['페이스북 재업로드(펌) 및 유튜브 재업로드를 금지합니다.'],['170105 악동뮤지션 - 휘파람(blackpink cover) @북티크'],2558529
2,0,Unkown,,False,929,Rzt Tv,44,"['', '', '', '']","['Idols Reaction to BLACKPINK at the SMA&#39;S 2018!', 'BLACKPINK &quot;Rose&quot; my sweet heart ❤❤❤', 'Blackpink &quot;Rosé&quot; cute facial expressions ❤\u200d❤\u200d☺', 'Blackpink&#39;s Valentine Special']",894423
3,0,VN,"TWITTER: twitter.com/imvitvang
YOUTUBE: youtube.com/c/HiBLACKPINK",True,0,Hi! BLACKPINK,11,"['BLACKPINK #GAONCHARTMUSICAWARDS.', 'BLACKPINK #GAONCHARTMUSICAWARDS.', 'MELON #MMA #BLACKPINK #WIN #DDUDUDDUDU #181201 #BESTDANCE #FEMALE.', 'Hi! BLACK PINK - FAN ( BLINK )', 'JISOO #ARTHDALCHRONICLES #JisooOnArthdalChronicles.', 'BLACKPINK Open Golden Disc Awards Day 1 | 190501 #BLACKPINK #GDA.']","['BLACKPINK WIN THE ARTIST OF THE YEAR (JUNE) | 8th GAONCHART MUSIC AWARDS 190123', 'JENNIE (BLACKPINK) WIN THE ARTIST OF THE YEAR (NOVEMBER) | 8th GAONCHART MUSIC AWARDS 190123', 'BLACKPINK WIN BEST DANCE (  FEMALE ) - MELON MUSIC AWARDS 181201', 'TEDDY WIN COMPOSED OF THE YEAR in 8th GAONCHART MUSIC AWARDS 190123', 'ARTHDAL CHRONICLES CUT JISOO (BLACKPINK)', 'BLACKPINK Open Golden Disc Awards Day 1 | 190501']",5786226
4,0,US,"•Stokes Twins
•New videos every Sunday
•Instagram - imalanstokes/imalexstokes
•Snapchat - imalanstokes/imalexstokes",False,2980000,Stokes Twins,74,"[""We Dm'd 100 Celebrities on Instagram to see how many of them would reply and it actually worked!! WATCH Last Week's Video: ..."", ""We Dm'd and replied to 100 fans on Instagram to see how they would react!! Also Lisa from Blackpink replied.. WATCH us DM 100 Celebrities: ..."", ""This is why K-POP fans don't answer phone calls! Stalk us on Instagram: https://instagram.com/imalanstokes https://instagram.com/imalexstokes •••••••••••••••••...""]","['DM&#39;ing 100 Celebrities To See How Many Would Reply', 'I SENT A DM TO 100 FANS ON INSTAGRAM *LISA BLACKPINK REPLIED!*', 'The Reason K-POP Fans Don&#39;t Answer Phone Calls']",231248951
5,0,CA,"¡Hola Chicos!
Mi canal principal de YouTube https://www.youtube.com/MrMcCruddenMichael ha estado recibiendo una gran cantidad de comentarios, y las personas que hablan español se han perdido de la diversión. Es por eso que empecé ESMichaelMcCrudden que tendrá mis videos más populares y videos nuevos dedicados solo para ustedes, pero en español . Disfrútenlo y como siempre, díganme de quien más quieren que hablemos en nuestros siguientes videos.",False,1530000,Antes De Que Fueran Famosos,397,"['Billie Eilish | La Lujosa Vida | Forbes Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://.instagram.com/ailedvg Vuélvete Un Miembro: ...', 'Ariana Grande | La Lujosa Vida | Fortuna (joyas, autos, casas y más) Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://.instagram.com/ailedvg Vuélvete ...', 'Kim Kardashian | La Lujosa Vida | Fortuna | Forbes Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://.instagram.com/ailedvg Vuélvete Un Miembro: ...', 'BLACKPINK | Antes De Que Fueran Famosos | 블랙핑크 Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://.instagram.com/ailedvg Vuélvete Un Miembro: ...', 'Kylie Jenner | La Lujosa Vida | Fortuna Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://www.instagram.com/ailedvg/ Vuélvete Un Miembro: ...', 'Taylor Swift | La Lujosa Vida | Fortuna | ts7 Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://.instagram.com/ailedvg Vuélvete Un Miembro: ...', 'BLACKPINK | La Lujosa Vida | Forbes Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: https://www.instagram.com/ailedvg Vuélvete Un Miembro: ...', 'Halsey | Antes De Que Fueran Famosos | Boy With Luv BTS FASHION NOVA: http://bit.ly/2E3uCKV Suscribir: http://bit.ly/2z5MEbc Instagram De Ailed: ...']","['Billie Eilish | La Lujosa Vida | Forbes', 'Ariana Grande | La Lujosa Vida | Fortuna (joyas, autos, casas y más)', 'Kim Kardashian | La Lujosa Vida | Fortuna | Forbes', 'BLACKPINK | Antes De Que Fueran Famosos | 블랙핑크', 'Kylie Jenner | La Lujosa Vida | Fortuna', 'Taylor Swift | La Lujosa Vida | Fortuna | ts7', 'BLACKPINK | La Lujosa Vida | Forbes', 'Halsey | Antes De Que Fueran Famosos | Boy With Luv BTS']",203166125
6,0,Unkown,,False,2040,Mai Nguyen,42,['exo korea band.'],['EXO&#39;s Chanyeol looks shy around Blackpink&#39;s Rose'],973737
7,0,Unkown,"UY!
Me llamo Albert! y sí, y este es mi canal de Youtube donde podréis ver tres vídeos semanales míos! :)
Mi intención es que paséis un buen rato conmigo, como yo lo hago cuando preparo cada uno de estos vídeos para vosotros! Y por eso tendréis:

**CADA DOMINGO A LAS 20:00 NUEVO VIDEO!**",False,527000,UY Albert!,356,"['PROBÁNDOME ROPA MUY HOT, sin cesura! Youtube me quitará la monetización y la miniatura del video.. pero por mi parte, ¡lo prometido es deuda!', 'Reacciono al K-POP por segunda vez! Y ME ENCANTA! Videoclips de Blackpink (mis ídolas, soy fan), Twice, BTS, EXO,.. todas las bands del POP COREANO.', 'REACCIÓN AL K-POP DEL 2019 Increíbles grupos del Pop Coreano que desconocía: #ITZY, #MONSTAX, #LOONA, DREAMCATCHER, WAYV,.. Me declaro ...', 'Reconociendo CULOS y PAQUETES de FAMOSOS con @berryuca ¿Quién de los dos acertará más bultos? Canal de Berry: ...', 'CAMBIO DE LOOK! Pelo de colores SIN TEÑIR. • TWITTER https://twitter.com/uyalbert • INSTAGRAM https://www.instagram.com/uyalbert Email de contacto para ...', ""IMITANDO MAQUILLAJE de JAMES CHARLES (fail??) MAKEUP DE @JAMESCHARLES Este es mi tercer Coach Session de la 'Pure Active Academy' con mi ..."", 'Bailando ARIANA GRANDE con Roenlared para la JUST DANCE WORLD CUP 2019 Y grabación del video K-POP de ""SOLO"" de Jennie Aquí el resultado: ...']","['PROBÁNDOME ROPA MUY HOT (culos SIN CENSURA) +18 | Uy Albert!', 'REACCIONANDO AL K-POP #2 ( Blackpink , Twice , BTS ,...) | Uy Albert!', 'REACCIONANDO al K-POP del 2019 ( Itzy , Monsta X , Loona ,...)', 'Reconociendo CULOS y PAQUETES de FAMOSOS | Uy Albert!', 'PELO DE COLORES *SIN TEÑIR* CAMBIO DE LOOK | Uy Albert!', 'IMITANDO MAQUILLAJE de JAMES CHARLES (FAIL!!) | Uy Albert!', 'BAILANDO ARIANA GRANDE con Roenlared (Vlogmas #2) | Uy Albert!']",68774477
8,0,KR,9stars.kr,False,4330,NINE STARS,1351,"[""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터 버라이..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터 버라이..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터 버라이..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터 버라이..."", ""The JH Media 21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 '스프라이트 아일랜드' 행사 진행됐다. 초대형 워터...""]","['[Nine Stars] 블랙핑크(BLACKPINK) 우도환(WooDoHwan) 스프라이트와 시원한 여름 되세요!', '[Nine Stars] 블랙핑크(BLACKPINK) 제니 (JENNIE) 포토타임 @  ‘스프라이트 워터밤’', '[Nine Stars] 블랙핑크(BLACKPINK) 리사 (LISA) 포토타임 @ \xa0‘스프라이트\xa0워터밤’', '[Nine Stars] 블랙핑크(BLACKPINK) 지수 (JISOO) 포토타임 @ 스프라이트 워터밤', '[Nine Stars] 블랙핑크(BLACKPINK) 제니 (JENNIE) 쏟아지는 탄산별 @ 스프라이트 워터밤', '[Nine Stars] 블랙핑크(BLACKPINK) 우도환(WooDoHwan) 뚜두뚜두 (DDU-DU DDU-DU) 댄스 @ 스프라이트 워터밤', '[Nine Stars] 블랙핑크(BLACKPINK) 우도환(WooDoHwan) 포토타임 @ 스프라이트 워터밤', '[Nine Stars] 블랙핑크(BLACKPINK) 로제 (ROSÉ) 포토타임 @ ‘스프라이트 워터밤’', '[Nine Stars] 블랙핑크(BLACKPINK) 블랙핑크(BLACKPINK) 우도환(WooDoHwan) 함께 해요 스프라이트!']",2225200
9,0,Unkown,,False,4400,ข่าววันนี้,76,"['ลิ้งคลิปโฆษณาต้นเรื่อง : shorturl.at/hkAF3 #miniJENNIE #JENNIEBLACKPINK #BLACKPINK.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #JISOO #BLACKPINK #JISOOBLACKPINK.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #JISOO #BLACKPINK #JISOOBLACKPINK.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #BLACKPINK #แบล็คพิ้งค์ #blink.', 'JENNIEKIM #JENNIEBLACKPINK #BLACKPINK ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB.', '10 สิ่งที่ทำให้BLACKPINK ตีตลาดแตก และโด่งดังทั้งในเอเชียและทั่วโลก ขอขอบคุ...', 'Lisa #Blackpink #ข่าววันนี้ เปิดประวัติ กว่าจะดังระดับโลกของ Lisa BLACKPINK! ความน่ารัก...', 'ขอขอบคุณรูป และ vdo ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #LISA #BLACKPINK #LISABLACKPINK.', 'เรื่องราวประวัติของ ROSÉ BLACKPINK ที่แฟนๆ ต้องรู้ ติดตามข่าวได้ทุกวันที่ https://bi...', 'ขอบคุณข่าว : http://www.hallyukstar.com/2019/06/01/blackpink-choreography/ ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB ...', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #Lisa #Blackpink #lisablackpink.', 'ขอบคุณข้อมูล : https://kpop.youzab.com/99531 https://www.daradaily.com/news/62867/read ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H...', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #ข่าววันนี้ #ลิซ่าBLACKPINK #กระแตอาร์สยาม.', 'JENNIEKIM #JENNIEBLACKPINK #BLACKPINK ขอบคุณภาพ : IG : jennie_bangpink ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #JISOO #BLACKPINK #JISOOBLACKPINK.', 'ติดตามข่าวได้ทุกวันที่ https://bit.ly/2H6bUaB #miniJENNIE #JENNIEBLACKPINK #BLACKPINK.']","['มินิเจนนี่ Blackpink โดนชาวเกาหลีโจมตี ยั่วยุหรือมโนไปเอง!', '[คลิป] ความน่ารักของ Jisoo ที่ทำให้ G DRAGON ยิ้มออกเป็นครั้งแรกของวัน', 'ความลับที่ชาวบลิ๊งต้องรู้ ของ JISOO BLACKPINK  จีซู แบล๊คพิ้งค์', 'ประวัติความเป็นมาเป็นไปของสมาชิก วง BLACKPINK [มีคลิป]', 'ประวัติ JENNIE KIM ก่อนจะดัง { JENNIE BLACKPINK }', '10 สิ่งของ BLACKPINK ที่ทำให้ได้ใจคนทั่วทุกมุมโลก[มีคลิป]', 'เปิดประวัติ กว่าจะดังระดับโลกของ Lisa BLACKPINK!', '10 เหตุผลทำไมถึงหลงรัก LISA BLACKPINK [มีคลิป]', 'ความลับที่ไม่ลับของ ROSÉ BLACKPINK ที่ชาวบลิ๊งต้องรู้! [มีคลิป]', 'เมื่อสาวๆ BLACKPINK ถูกถามถึงท่าเต้นของตัวเอง!', 'เปิดรายได้ 4 สาว วง BLACKPINK', 'สาวน้อยลิซ่าถึงเมื่องไทยแล้ว ยินดีต้อนรับกลับบ้าน [มีคลิป]', 'เรื่องสุดหลอน!! ของ 4 สาว &#39;BLACKPINK&#39; ในห้องซ้อม!!', 'กระแต cover ลิซ่า BLACKPINK [มีคลิป]', '[มีคลิป] &quot;เจนนี่ BLACKPINK” ป่วย จนต้องลงเวทีกะทันหัน', '[คลิป] รวมความน่ารักของ &#39;จีซู BLACKPINK&#39;', 'พิจารณาลงโทษสถานี กรณี โฆษณากินไอติม “เอลล่า กรอสส์”']",1078306
