,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
0,😱ครูฝึกทหารปะทะลิซ่าBLACKPINK🌼.!?,"['Entertainment', 'Military']",852,"💥ปล.เรื่องนี้ป้าจะไม่ยุ่งรอติดตามชมต่อไป😂😱
😍""Real Men""รายการเรียลิตี้นำเสนอการใช้ชีวิต
👮ในค่ายทหารของเหล่าดาราศิลปินไอดอลจาก
วงต่างๆ1ในนั้นคือ ""ลลิษา มโนบาล"" ที่ต้องฝึกหนัก
เสมือนทหารเกาหลีใต้จริงๆ""ลิซ่าตัวจริงคนจริง""😆💞
Real Men : 진짜사나이

CREDIT : MBCentertainment
https://www.youtube.com/watch?v=cmliMhtisf8
Increasingly smaller voice
▶Playlist for MORE episodes → 
https://www.youtube.com/playlist?list...
▶ Like the MBC Fan Page & WATCH new episodes → https://www.facebook.com/MBCentertainReal Men 진짜사나이
https://www.youtube.com/watch?v=cmliMhtisf8",494,0,16552,1955257
1,BLACKPINKอีกแล้วเจนนี่เต้นผิดนอกบท.!?,"['Music', 'Music_of_Asia', 'Pop_music']",1121,"😍😁BLACKPINKขึ้นโชว์คอนเสิร์ตในไทย🏟💞🎤
🤣แอบเล่นนอกสคลิปด้วยการเล่นเป่ายิ้งฉุ่บ✊👋✌
😹กับลิซ่าและลิซ่ายังแอบให้หัวใจพี่จีซูอีกด้วย👩‍❤️‍💋‍👩💋
[ 🌍BLACKPINK IN YOUR AREA BANGKOK💞🇹🇭 ]",1034,0,8477,1046401
2,170105 악동뮤지션 - 휘파람(blackpink cover) @북티크,"['Music_of_Asia', 'Electronic_music', 'Music']",453,페이스북 재업로드(펌) 및 유튜브 재업로드를 금지합니다.,83,0,12501,903430
3,Idols Reaction to BLACKPINK at the SMA'S 2018!,['Music'],291,,116,0,8617,882840
4,BLACKPINK WIN THE ARTIST OF THE YEAR (JUNE) | 8th GAONCHART MUSIC AWARDS 190123,['Music'],217,#BLACKPINK #GAONCHARTMUSICAWARDS,212,0,12998,789232
5,JENNIE (BLACKPINK) WIN THE ARTIST OF THE YEAR (NOVEMBER) | 8th GAONCHART MUSIC AWARDS 190123,['Music'],582,#BLACKPINK #GAONCHARTMUSICAWARDS,611,0,23447,750154
6,I SENT A DM TO 100 FANS ON INSTAGRAM *LISA BLACKPINK REPLIED!*,['Music'],3699,"We Dm'd and replied to 100 fans on Instagram to see how they would react!! Also Lisa from Blackpink replied..

WATCH us DM 100 Celebrities: https://www.youtube.com/watch?v=r9RAboSL-10

Stalk us on instagram for more content ;)

Alan's Instagram: https://instagram.com/imalanstokes/ 
Alex's Instagram: https://instagram.com/imalexstokes/ 

Music Creds:
Explore - Ikson: https://soundcloud.com/ikson",1164,0,36720,699825
7,BLACKPINK | Antes De Que Fueran Famosos | 블랙핑크,"['Entertainment', 'Television_program']",3114,"BLACKPINK | Antes De Que Fueran Famosos | 블랙핑크
Suscribir: http://bit.ly/2z5MEbc
Instagram De Ailed: https://.instagram.com/ailedvg
Vuélvete Un Miembro: https://bit.ly/2OlGqf2 

===========================

BlackPink se convirtió en el primer grupo de K-Pop femenino en actuar en Coachella. Jisoo, Jennie, Rosé y Lisa se han convertido en uno de los grupos musicales más grandes del mundo. Pero todo esto no paso de la noche a la mañana. Las chicas se entrenaron rigurosamente durante años antes de tener una oportunidad en el escenario mundial. Y en este video les voy a contar como fue su ascenso a la fama.

#blackpink
#jensoo
#jenlisa
#lisoo
#chaelisa
#antesdequefueranfamosos

===========================

Más Videos Que Te Pueden Gustar:

La Lujosa Vida: https://www.youtube.com/playlist?list=PLwA05LypWpSneaepRoaiBRtG8w2RfZkBQ

Antes De Que Fueran Famosos: https://www.youtube.com/playlist?list=PLwA05LypWpSmO8S_VYgrfIrNv_osxaktn

==========================

Canal Principal:
http://www.youtube.com/MrMcCruddenMichael

Canal Personal: https://www.youtube.com/channel/UCq4bhr0JtPfqiIq-FqwAvLg",987,0,26394,600748
8,"😱""GOT7แรงไปนะ""ล้อเลียนBLACKPINK.!?","['Pop_music', 'Music']",800,"😍💥GOT7จริงๆแล้วแบมๆเป็น""เด็กกวน....ㅋㅋ😝""
 🌺뱀뱀แบมๆล้อเลียนท่าเต้นลลิษาเพื่อนเลิฟ😂💗
แบมๆแรงไปไหมลู่ก..!!คอนี่แทบจะหัก555+😁😆",1165,0,5835,505961
9,EXO's Chanyeol looks shy around Blackpink's Rose,['Music'],309,exo korea band,243,0,9774,485302
