,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
0,[MR Removed] IZ*ONE - La Vie en Rose,"['Music', 'Music_of_Asia', 'Pop_music']",5758,[MR Removed] IZ*ONE - La Vie en Rose,914,0,10581,601823
1,【IZONE】韓国人メンバーの日本語は上手？！下手？！【日本語字幕】,['Entertainment'],166,"TMIクイズ:①:https://www.youtube.com/watch?v=UFl6olhNfq4 
ウォニョン日本語は特にうまいので別でだしますｗ　p.s.ユジンかわい 


#izone #アイズワン #LaVieenRose",51,0,3734,426446
2,[MR Removed] IZ*ONE - Violeta @Musicbank,"['Pop_music', 'Music', 'Music_of_Asia']",2009,"[MR Removed] IZ*ONE - Violeta @Musicbank
-DO NOT REUP!",467,0,5701,269776
3,I MET IZ*ONE IN KOREA,"['Food', 'Lifestyle_(sociology)']",1322,"SO THIS IS MY VERY FIRST VLOG, if you guys like it then I'll make another one someday ;D
GOOD FOOD, GOOD PEOPLE, AND IZ*ONE !!!!!

If you wanna know more about my daily activities, please follow my Instagram right here and other socials :

https://www.instagram.com/rezadarmawa...
https://soundcloud.com/rzdarmawangsa
https://twitter.com/rzdarmawangsa

Other YouTubers in this video :

Alphisugoi, Tiffani Affifa, Geradlytan, Kevin Ferdiansyah, Rizky Gustam, Jayfy

Please leave a Like & Share it to your friends ! Any suggestions? put it on the comments below, thanks ;)

#BahasaIndonesia #OdengIsLifeOdengIsLove #OTW1milsubs",155,0,20310,260009
4,【IZONE】プロミス先輩？！との感動の再会！【日本語字幕】,"['Music_of_Asia', 'Music']",94,"IZONE寝袋バトル ①:https://www.youtube.com/watch?v=BrHXwUMEe9Y ②:https://www.youtube.com/watch?v=y65bs_HPyFQ&t=23s 


ちなみに私はナギョンペン
p.s. ミンジュかわい 

#izone #アイズワン #LaVieenRose",34,0,3312,231549
5,[MR Removed] 190405 IZ*ONE (아이즈원) -  Violeta (비올레타) @ 뮤직뱅크 Music Bank,"['Pop_music', 'Music', 'Music_of_Asia']",685,"Don't forget to subscribe my channel!

#IZONE #아이즈원 #Violeta #비올레타",361,0,2243,207999
6,IZ*ONE CHAEYEON DANCE COMPILATION,"['Music', 'Music_of_Asia']",67,,12,0,1427,158894
7,IZONE(아이즈원) - La Vie en Rose(라비앙로즈)  cover 振り付け 解説,"['Pop_music', 'Music', 'Music_of_Asia']",130,"Dance reference 👀 [  ]
Music🎶 [ https://youtu.be/WZwr2a_lFWY ]
Dancer💃 - チェゴ(Chego)(최고) 【  haruka 琴音(kotone) meeeeho maho  】
Subscribe ❤️
→http://www.youtube.com/channel/UCjyvXWWlijuhPH_gd0InDdA?sub_confirmation=1
   


お仕事のご依頼はこちらまで
chego.5.pp@gmail.com　　　


Twitter↓
http://twitter.com/chego_4

Instagram↓
https://www.instagram.com/chego_4

TikTok↓
ID 2153376988

haruka Twitter↓
https://mobile.twitter.com/01haruka15

Kotone Twitter↓
https://mobile.twitter.com/ko_to555

meeeeho↓
https://mobile.twitter.com/meeeeho0525

maho↓
https://mobile.twitter.com/Maaaho0221

Mix Channel にも動画投稿しています！
https://mixch.tv/u/8475740",94,0,4032,141781
8,4K 60P 181029 아이즈원 (IZ*ONE) 장원영 Jang Won Young '1000%' 직캠 Fancam @IZONE SHOWCON by 팔도조선,['Music'],341,,64,0,3071,137337
9,"[UPDATE] Gara"" Ini Fans IZ*ONE Tidak Menyetujui IZ*ONE Mengikuti Variety Show Jepang","['Entertainment', 'Performing_arts']",763,,129,0,2501,129027
10,[해외반응] IZ*ONE 혼돈의 방콕 공항,['Music'],322,"IZ*ONE 혼돈의 방콕 공항
레딧에 있는스레드를 번역해왔습니다
재밌게(?) 보시고 좋아요와 구독 버튼 한번씩 부탁드려요~",38,0,626,79975
11,장원영-미야와키사쿠라-야부키나코 아이즈원 (IZ*ONE) 190412 뮤직뱅크 출근길,['Entertainment'],785,"#미야와키사쿠라 #장원영 #야부키나코 #아이즈원 #IZONE #やぶきなこ #矢吹奈子 #YabukiNako #사쿠라 #みやわきさくら #宮脇咲良 

4월 12일 KBS 뮤직뱅크에 아이즈원이 출근하고 있다. 12일 뮤직뱅크에는 BVNDIT (밴디트), EVERGLOW, HYNN(박혜원), IZ*ONE (아이즈원), JBJ95, KARD, Stray Kids(스트레이 키즈), VAV, 강시원, 공원소녀, 다이아, 드림노트 (DreamNote), 멋진녀석들, 모모랜드, 열혈남아, 유키카, 재성, 펜타곤, 피싱걸스, 핫플레이스, 현상이 출연한다. ©The JH Media",48,0,457,67518
12,【韓國】GOT7珍榮抓有謙手打招呼超萌 IZ*ONE累壞恩妃奈子超沒精神,['Entertainment'],32,"OK我們榮宰就是這麼高冷
不過帽子這樣戴真的看得到路嗎
GOT7日前剛結束日本巡演7日返韓
雖然成員們略顯疲憊
但看到鏡頭依舊乖巧問好超有禮貌",5,0,707,64492
