,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
0,"JUNGKOOK
▷Bts◁̶I̶̶n̶̶f̶̶i̶̶r̶̶e̶̶s̶̶ ̶
  ❝ INSPIRES SEX ❞","['Pop_music', 'Music', 'Music_of_Asia']",3242,"༺═──────────────═༻
☞DISCLAIMER /I WANT TO  EMPHASIZE  THAT :☟

The title has *NOT been absolutely thought out for offensive  or disrespectful purpose* but it is a way to summarize in short all the emotions that every single singer transmits to us, not only vocally but also aesthetically... 
Is like a mix of: sexiest moments collection, try not to fangirl / fanboy challenge, try not to die challenge, cute moments (Etc.) that I have summarized in “ Inspires sex"", because let's be honest : they inspire many beautiful sensations even without trying ..! 
So please respect my hard work, if you don't like this kind of stuff, just don't watch it! 
THANK YOU 😊❤️

༺═──────────────═༻☆ 


MUSIC☆:  
•T.U.E - Doing Just Fine  (to search on Youtube) 
Link song: https://youtu.be/cDnyesaz5dM

•Njomza ( Arvfz Remix) - Ridin Solo  (to search on Spotify)  




#BTS #JUNGKOOK #InspiresSeries 
#INSPIRES #방탄소년단 #防彈少年團  #Maknae #GoldenMaknae
---------------------------
•••••••••••••••••••••••••••••••••••••••••••••••
©©©©©©©©©©©©©©©©©©©©©©
Disclaimer NO COPYRIGHT infringement intendet,it's a purely FANMADE 
NON- PROFIT

-------------------------------
All credits goes to respective owners
I DO NOT own any video & audio in this video No Copyright Infringement Intended. Entertainment Purposes Only ..

• I own only the edit! •

#Jungkook #BTS #InspiresSeries",698,0,58479,2158505
1,[CC PT-BR] BTS as ASDFMovie,"['Entertainment', 'Film', 'Television_program']",6268,"Canal original do ASDFMovie: https://www.youtube.com/user/TomSka 

MINHA CAIXA POSTAL/MY POST OFFICE:

Larissa Russo
Caixa Postal 545; CEP 06763970
Taboão da Serra - SP (Brazil)

Twitter: @IreumeunJunkook
FC no Twitter: @FcBiscoito",2126,0,127059,2019791
2,Nhóc Jungkook chỉ khóc khi thấy các anh khóc =((  /BTS maknae Jungkook love his hyungs),['Music'],2798,"“Cậu ấy là thanh xuân của tôi, là bí mật không thể bật mí, là lời yêu chẳng dám tỏ và cũng là nỗi đau ngọt ngào của một thời tuổi trẻ.

Cậu ấy là năm tháng của lưng chừng giữa trưởng thành và trẻ con, là nụ cười, là nước mắt, cậu ấy là xuân xanh, là hạ vàng, là thu nhạt, là đông tàn, là tất cả thương mến.

Cậu ấy là người tôi thương, thương đến chẳng dám chung đường.”

Các bạn nhấn theo dõi  kênh để cập nhật vid mới nhé!! 
https://youtu.be/DcS2OfACLMg

mọi đóng góp vui lòng cmt bên dưới để page cải thiện hơn nhiều mứt hơn Thanks các chị em bạn dì ^^ (Thanks for all your support, rating the video and leaving a comment is always appreciated!) 

xin cmt thiện chí nhé, những cmt có ý gây war hoặc vô văn hóa sẽ bị xóa nhé.
 




- xin đừng cắt hoặc reup video bất kỳ đâu khi chưa có sự chấp thuân của Lớt ( có thể share link) / PLESE DO- NOT REUPLOAD

-Copyright disclaimer! I do NOT own this song nor the image featured in the video. All rights belong to it's rightful owners. No copyright infringement intended.

Lớt cảm ơn ạ",465,0,37307,1801965
3,Тестирую косметику от BTS 💋 BT21 | Лисса,['Lifestyle_(sociology)'],15171,"кидайте это видео вашим знакомым ARMY 
Новая косметика BT21 https://www.youtube.com/watch?v=UusI3xg6tbM
А это видео полная трансформация в  Азиатский вирусный макияж и что используют азиатки чтоб стать красивыми. А вы скажите как вам такая техника нанесения макияжа и вообще что думаете ? 
Азиатский вирусный макияж  :https://youtu.be/fziwnRoZeKY
Макияж азиатскими лайфхаками https://youtu.be/Qzr-nMmMeso


♡♡♡------♡♡♡------♡♡♡

ИНСТАГРАМ: http://instagram.com/aveme_lissa
ВКОНТАКТЕ: https://vk.com/aveme_lissa
ПО РЕКЛАМЕ : Lissaaveme@wildjam.ru 
АВЕМИ КИСА( петс канал) : https://goo.gl/KtQU3t

♡♡♡------♡♡♡------♡♡♡




Всем спасибо за просмотр лайк и ТЫК (подписку) и до новых встреч!
 #Лисса #asian #viralmakeup #viralmakeupvideos,
#makeup #transformations
#viral #asianmakeup #btscosmetics #bt21makeup

https://www.youtube.com/c/lissaaveme",2653,0,116378,1776713
4,"160114 BTS reaction to Rap Monster ""Buckubucku"" (by MFBTY)","['Music_of_Asia', 'Music']",973,"credit to Freedome Hope (link below)
BTS's reaction to Rap Monster in MFBTY's Buckubucku performance at the Seoul Music Awards on January 14, 2016

I didn't see a video like this but I wanted one so I just made it... :)

link to Freedome Hope's original fancam: https://www.youtube.com/watch?v=esEEsvpX2W8

no copyright infringement intended
all credit to original owners",159,0,40984,1587295
5,Anh em thương nhau thật sự / BTS is a family,['Music'],4760,"“Cậu ấy là thanh xuân của tôi, là bí mật không thể bật mí, là lời yêu chẳng dám tỏ và cũng là nỗi đau ngọt ngào của một thời tuổi trẻ.

Cậu ấy là năm tháng của lưng chừng giữa trưởng thành và trẻ con, là nụ cười, là nước mắt, cậu ấy là xuân xanh, là hạ vàng, là thu nhạt, là đông tàn, là tất cả thương mến.

Cậu ấy là người tôi thương, thương đến chẳng dám chung đường.”

Các bạn nhấn theo dõi  kênh để cập nhật vid mới nhé!! 
https://youtu.be/DcS2OfACLMg

mọi đóng góp vui lòng cmt bên dưới để page cải thiện hơn nhiều mứt hơn Thanks các chị em bạn dì ^^ (Thanks for all your support, rating the video and leaving a comment is always appreciated!) 

xin cmt thiện chí nhé, những cmt có ý gây war hoặc vô văn hóa sẽ bị xóa nhé.
 




- xin đừng cắt hoặc reup video bất kỳ đâu khi chưa có sự chấp thuân của Lớt ( có thể share link) / PLESE DO- NOT REUPLOAD

-Copyright disclaimer! I do NOT own this song nor the image featured in the video. All rights belong to it's rightful owners. No copyright infringement intended.

Lớt cảm ơn ạ",311,0,51738,1547735
6,190216 LOVE YOURSELF CONCERT in Fukuoka - LEMON 방탄소년단 BTS 정국 직캠 JUNGKOOK Focus.,"['Pop_music', 'Music']",1814,"LEMON - Yonezu Kenshi(米津玄師)

'I Dare U' for BTS JK
@IDAREU_JK
Do not re upload.",619,0,65687,1454084
7,[BTS] DI DI & MISTHY CUA ĐỔ LONGC & LINH NGỌC ĐÀM NTN TRONG HẬU TRƯỜNG CAO THỦ SÁT TRAI 2 | DI DI,['Entertainment'],596,"[BTS] DI DI & MISTHY CUA ĐỔ LONGC & LINH NGỌC ĐÀM NTN TRONG HẬU TRƯỜNG CAO THỦ SÁT TRAI 2 | DI DI 

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#didi #caothusattrai #ctst 

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Di Di & Xưởng Chế Tạo IDID): https://www.facebook.com/groups/1839980929628718/
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

► NẾU CÓ VẤN ĐỀ VỀ BẢN QUYỀN XIN LIÊN HỆ:
     Email: partners@creatory.vn và didi@creatory.vn

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",446,0,15598,1343111
8,160119 BTS 방탄소년단 at Gala Vietnam Top Hits,"['Performing_arts', 'Entertainment']",2905,"160119 BTS  Bangtan Boys 방탄소년단 at Gala Vietnam Top Hits

Fancam by Max Young for 360KPOP, PLEASE TAKE OUT WITH FULL CREDIT AND DO NOT REUPLOAD.


For more Information: 
★ Weibo: http://www.weibo.com/lonethief
★ Facebook: http://www.facebook.com/MaxYoungMin
★ Instagram: http://instagram.com/maxyoungmin
★ Tumblr: http://lonethief.tumblr.com/
★ Twitter: https://twitter.com/MaxYoungMin
★ YouTube: http://www.youtube.com/user/13only92",349,0,24791,1287356
9,"[SUB ESP] FANCAFE BTS JIN, RM & J-HOPE [ACTIVA LOS SUBTITULOS ]",['Music'],632,"UNETE: https://chat.whatsapp.com/HawJbWuIvmu09FiKdREqP2 

¡ACTIVEN LOS SUBTITULOS EN CC!

Canal 2: https://www.youtube.com/channel/UCRb_6m5q2CdHUeCFQ-Plu4Q
••••••••••••••••••••••  ARMY ♡ •••••••••••••••••••••••


¡Gracias por ver el video! ¡POR FAVOR, DALE ME GUSTA y COMPARTE este video! No te olvides de SUSCRIBIRTE a mi canal.

SIN INTENCIONES DE INFRINGIR LOS DERECHOS DE AUTOR.

No poseemos la MÚSICA / CONTENIDO . Todos los derechos reservados para el propietario original.

[¡Esto solo para fines de entretenimiento para army!]

••••••••••••••••••••••••ARMY ♡ ••••••••••••••••••••••••


Thanks for watching the video! PLEASE, I LIKE AND SHARE this video! Do not forget to SUBSCRIBE to my channel.

WITHOUT INTENTIONS TO INFRINGE COPYRIGHT.

We do not have the MUSIC / CONTENT. All rights reserved for the original owner.

[This only for entertainment purposes for the army!]




 💙 I LOF IU 💙

#RM  #JIN #HOBI #BTS #ARMY",260,0,51601,1221644
